provider,region,instance_type,product_name,hourly_price_usd,gpu_type
Azure,germanywestcentral,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series,3.63,H100
Azure,eastus2,Standard_NC320lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6,2.86,RTX PRO 6000
Azure,eastus,Standard_NC320ds_xl_RTXPRO6000BSE_v6,Virtual Machines NCdsxlRTX6kv6 Windows,6.2616,RTX PRO 6000
Azure,switzerlandwest,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,15.83894,A100
Azure,usgovarizona,Standard_NV4as_v4,Virtual Machines NVasv4 Series,0.053777,Other
Azure,eastus2,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,7.346,A100
Azure,usgovvirginia,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series,106.0,H200
Azure,southindia,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,3.627,Other
Azure,usgovvirginia,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series,8.15,A10
Azure,westus3,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,4.856,A10
Azure,uaenorth,Standard_NC40ads_H100_v5,Virtual Machines NCadsH100v5 Series,9.98,H100
Azure,southafricanorth,Standard_NV24s_v3,Virtual Machines NVSv3 Series,0.584,Other
Azure,northcentralus,Standard_NC96ads_A100_v4,NCads A100 v4 Series Linux,3.526,A100
Azure,eastus,Standard_NC24r_Promo,Virtual Machines NC Promo Series Windows,2.846,Other
Azure,germanywestcentral,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,1.901,Other
Azure,westus,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series,110.24,H200
Azure,italynorth,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.499,Other
Azure,germanywestcentral,Standard_ND96is_MI300X_v5,Virtual Machines NDMI300Xv5 Srs,12.48,MI300X
Azure,qatarcentral,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.915,A10
Azure,australiaeast,Standard_NV24s_v3,Virtual Machines NVSv3 Series,0.636,Other
Azure,ukwest,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series,111.088,H200
Azure,usgovarizona,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series,1.50612,A10
Azure,eastus,Standard_NV4ads_V710_v5,Virtual Machines NVadsV710v5 Series,0.0667,Other
Azure,southcentralus,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series Windows,20.44,H100
Azure,australiaeast,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series,0.978,Other
Azure,germanywestcentral,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.295458,Other
Azure,eastus2,Standard_ND96isrf_H100_v5,Virtual Machines NDsrf H100 v5 Series Windows,102.736,H100
Azure,northeurope,Standard_NC64ds_xl_RTXPRO6000BSE_v6,Virtual Machines NCdsxlRTX6kv6 Windows,1.3988,RTX PRO 6000
Azure,centralus,Standard_ND96isr_H100_v5,Virtual Machines NDsr H100 v5 Series Windows,125.35,H100
Azure,indonesiacentral,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,2.088055,A10
Azure,southindia,Standard_NC16as_T4_v3,Virtual Machines NCasT4 v3 Series,0.49213,Other
Azure,eastus2,Standard_NC64lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6 Windows,5.384,RTX PRO 6000
Azure,polandcentral,Standard_NV16as_v4,Virtual Machines NVasv4 Series,0.215292,Other
Azure,westus,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Linux,42.601,A100
Azure,eastus2,Standard_NG32ads_V620_v1,Virtual Machines NGadsV620v1 Series,0.508,Other
Azure,italynorth,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.799,Other
Azure,canadaeast,Standard_ND96amsr_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,43.74,A100
Azure,uksouth,Standard_NC80adis_H100_v5,Virtual Machines NCadsH100v5 Series,17.45,H100
Azure,westus,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.384384,A10
Azure,southcentralus,Standard_NC8ads_A10_v4,Virtual Machines NCadsA10v4 Series,1.32,A10
Azure,centralindia,Standard_NC96ads_A100_v4,NCads A100 v4 Series Windows,9.994,A100
Azure,swedencentral,Standard_NV4as_v4,Virtual Machines NVasv4 Series Windows,0.094248,Other
Azure,westeurope,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.422864,A10
Azure,eastus,Standard_NP20s,Virtual Machines NP Series,0.60984,Other
Azure,malaysiawest,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.807,A10
Azure,canadacentral,Standard_NV4as_v4,Virtual Machines NVasv4 Series Windows,0.464,Other
Azure,malaysiawest,Standard_NV12ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.298267,A10
Azure,eastus,Standard_NC48ads_A100_v4,NCads A100 v4 Series Linux,1.469,A100
Azure,italynorth,Standard_NV16as_v4,Virtual Machines NVasv4 Series,0.215292,Other
Azure,koreacentral,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.432,A10
Azure,westus2,Standard_NP10s,Virtual Machines NP Series,0.33,Other
Azure,brazilsouth,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.47705,Other
Azure,polandcentral,Standard_NC16as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.895,Other
Azure,southcentralus,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.742,Other
Azure,westus2,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series Windows,89.216,H200
Azure,westeurope,Standard_NV12ads_V710_v5,Virtual Machines NVadsV710v5 Series Windows,0.34225,Other
Azure,westus3,Standard_ND96isr_H200_v5,Virtual Machines NDsrH200v5 Series Windows,89.216,H200
Azure,uksouth,Standard_NV48s_v3,Virtual Machines NVSv3 Series,5.7,Other
Azure,canadacentral,Standard_NC12s_v3,Virtual Machines NCSv3 Series Windows,7.284,Other
Azure,westus3,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.667,Other
Azure,westus2,Standard_NC12s_v3,Virtual Machines NCSv3 Series,1.130976,Other
Azure,polandcentral,Standard_ND96isr_H100_v5,Virtual Machines NDsr H100 v5 Series Windows,24.436474,H100
Azure,westeurope,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series,0.94,Other
Azure,chilecentral,Standard_NV32as_v4,Virtual Machines NVasv4 Series Windows,0.754354,Other
Azure,japaneast,Standard_NV6ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,0.374,A10
Azure,eastus,Standard_NV36ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,4.856,A10
Azure,westus,Standard_NC96ads_A100_v4,NCads A100 v4 Series Windows,23.516,A100
Azure,eastus,Standard_NV36adms_A10_v5,Virtual Machines NVadsA10v5 Series Windows,6.176,A10
Azure,germanywestcentral,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,2.178422,A10
Azure,westus2,Standard_NC32lds_xl_RTXPRO6000BSE_v6,Virtual Machines NCldsxlRTX6kv6,0.2486,RTX PRO 6000
Azure,polandcentral,Standard_NC4as_T4_v3,Virtual Machines NCasT4 v3 Series,0.656,Other
Azure,eastus,Standard_NC32ds_xl_RTXPRO6000BSE_v6,Virtual Machines NCdsxlRTX6kv6 Windows,2.914,RTX PRO 6000
Azure,usgovarizona,Standard_NC24rs_v3,Virtual Machines NCSv3 Series Windows,3.285005,Other
Azure,eastus2,Standard_NV12ads_A10_v5,Virtual Machines NVadsA10v5 Series,0.182,A10
Azure,swedencentral,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,3.019,Other
