dataset,rows,columns,duplicate_rows,missing_cells,missing_pct
normalized_vm_pricing,97,11,0,164,15.37
cloud_locations_dataset,191,6,57,114,9.95
aws_gpu_market_dataset,85,5,0,9,2.12
ai_type_summary,8,3,0,0,0.0
ai_readiness_index_v1,3,12,0,0,0.0
azure_gpu_market_dataset,6845,6,109,0,0.0
aws_locations,34,6,0,0,0.0
azure_gpu_summary,8,4,0,0,0.0
azure_locations,114,5,57,0,0.0
benchmark_pricing_summary,10,8,0,0,0.0
ai_gpu_related_services,52,10,0,0,0.0
cloud_market_share_long,18,3,0,0,0.0
cloud_market_share_wide,6,4,0,0,0.0
gcp_accelerator_dataset,2394,11,0,0,0.0
country_coverage,3,2,0,0,0.0
gcp_locations,43,6,0,0,0.0
global_region_detail,159,2,0,0,0.0
global_region_summary,3,2,0,0,0.0
gcp_accelerator_summary,14,4,0,0,0.0
native_ai_services_enriched,17,11,0,0,0.0
native_cloud_service_catalog,460,9,0,0,0.0
native_service_category_summary,30,3,0,0,0.0
other_marketplace_service_catalog,966,9,0,0,0.0
provider_ai_service_share,3,4,0,0,0.0
region_summary,3,2,0,0,0.0
service_category_pivot_summary,9,4,0,0,0.0
service_category_summary,26,3,0,0,0.0
