provider,gpu_type,record_count,unique_instance_count,avg_hourly_price,median_hourly_price
Azure,A10,1338,9,2.2485609200298953,1.1745
Azure,A100,864,6,14.376439214120369,9.503
Azure,GB200,42,2,137.00218095238094,135.688
Azure,H100,714,9,39.550566719887954,20.645364
Azure,H200,78,2,97.17314102564103,106.088
Azure,MI300X,204,2,32.133292421568626,20.083
Azure,Other,3180,45,2.6224571528301888,1.081569
Azure,RTX PRO 6000,316,12,6.789159493670886,3.0032
GCP,A100,323,,2.7233605103034058,2.3883
GCP,Blackwell (B200),136,,8.05779375,8.055
GCP,H100,310,,6.158231944112903,4.841121033
GCP,H200,100,,5.71087761236,5.31025
GCP,L4,172,,0.4269775914069767,0.3973872
GCP,P100,114,,1.015137842105263,1.008
GCP,P4,124,,0.4157418870967742,0.409
GCP,T4,192,,0.280861796875,0.26
GCP,T4 Fractional,125,,0.44045175999999997,0.33638
GCP,TPU v5e,198,,0.8865667929292929,0.84
GCP,TPU v5p,198,,2.97680846969697,2.94
GCP,TPU v6e,81,,1.933515987654321,1.89
GCP,TPU v7,10,,7.878,7.2
GCP,V100,90,,1.6498112666666667,1.562
