provider,region_code,region_name,city,country,continent
AWS,af-south-1,Africa (Cape Town),Cape Town,South Africa,Africa
AWS,ap-east-1,Asia Pacific (Hong Kong),Hong Kong,Hong Kong,Asia Pacific
AWS,ap-east-2,Asia Pacific (Taipei),Taipei,Taiwan,Asia Pacific
AWS,ap-northeast-1,Asia Pacific (Tokyo),Tokyo,Japan,Asia Pacific
AWS,ap-northeast-2,Asia Pacific (Seoul),Seoul,South Korea,Asia Pacific
AWS,ap-northeast-3,Asia Pacific (Osaka),Osaka,Japan,Asia Pacific
AWS,ap-south-1,Asia Pacific (Mumbai),Mumbai,India,Asia Pacific
AWS,ap-south-2,Asia Pacific (Hyderabad),Hyderabad,India,Asia Pacific
AWS,ap-southeast-1,Asia Pacific (Singapore),Singapore,Singapore,Asia Pacific
AWS,ap-southeast-2,Asia Pacific (Sydney),Sydney,Australia,Asia Pacific
AWS,ap-southeast-3,Asia Pacific (Jakarta),Jakarta,Indonesia,Asia Pacific
AWS,ap-southeast-4,Asia Pacific (Melbourne),Melbourne,Australia,Asia Pacific
AWS,ap-southeast-5,Asia Pacific (Malaysia),Malaysia,Malaysia,Asia Pacific
AWS,ap-southeast-6,Asia Pacific (New Zealand),New Zealand,New Zealand,Asia Pacific
AWS,ap-southeast-7,Asia Pacific (Thailand),Thailand,Thailand,Asia Pacific
AWS,ca-central-1,Canada (Central),Central,Canada,Canada
AWS,ca-west-1,Canada West (Calgary),Calgary,Canada,Canada West
AWS,eu-central-1,Europe (Frankfurt),Frankfurt,Germany,Europe
AWS,eu-central-2,Europe (Zurich),Zurich,Switzerland,Europe
AWS,eu-north-1,Europe (Stockholm),Stockholm,Sweden,Europe
AWS,eu-south-1,Europe (Milan),Milan,Italy,Europe
AWS,eu-south-2,Europe (Spain),Spain,Spain,Europe
AWS,eu-west-1,Europe (Ireland),Ireland,Ireland,Europe
AWS,eu-west-2,Europe (London),London,United Kingdom,Europe
AWS,eu-west-3,Europe (Paris),Paris,France,Europe
AWS,il-central-1,Israel (Tel Aviv),Tel Aviv,Israel,Israel
AWS,me-central-1,Middle East (UAE),UAE,United Arab Emirates,Middle East
AWS,me-south-1,Middle East (Bahrain),Bahrain,Bahrain,Middle East
AWS,mx-central-1,Mexico (Central),Central,Canada,Mexico
AWS,sa-east-1,South America (Sao Paulo),Sao Paulo,Brazil,South America
AWS,us-east-1,US East (N. Virginia),N. Virginia,United States,US East
AWS,us-east-2,US East (Ohio),Ohio,United States,US East
AWS,us-west-1,US West (N. California),N. California,United States,US West
AWS,us-west-2,US West (Oregon),Oregon,United States,US West
Azure,australiacentral,Australia Central,Canberra,Australia,Unknown
Azure,australiacentral2,Australia Central 2,Canberra,Australia,Unknown
Azure,australiaeast,Australia East,New South Wales,Australia,Unknown
Azure,australiasoutheast,Australia Southeast,Victoria,Australia,Unknown
Azure,austriaeast,Austria East,Vienna,Austria,Unknown
Azure,belgiumcentral,Belgium Central,Brussels,Belgium,Unknown
Azure,brazilsouth,Brazil South,Sao Paulo State,Brazil,Unknown
Azure,brazilsoutheast,Brazil Southeast,Rio,Brazil,Unknown
Azure,canadacentral,Canada Central,Toronto,Canada,Unknown
Azure,canadaeast,Canada East,Quebec,Canada,Unknown
Azure,centralindia,Central India,Pune,India,Unknown
Azure,centralus,Central US,Iowa,United States,Unknown
Azure,chilecentral,Chile Central,Santiago,Chile,Unknown
Azure,denmarkeast,Denmark East,Copenhagen,Denmark,Unknown
