quarter,firm,provider,share_pct,market_size_busd,source_url
2016Q1,Canalys,AWS,30,8.2,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2016/media-alert-03052016-aws-leads-move-cloud-infrastructure-services-market-exceeds-us8-billion-q1-2016.pdf
2016Q4,Canalys,AWS,33.8,10.3,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2017/media-alert-060217-cloud-infrastructure-market-49-intensifying-glabal-data-center-competition.pdf
2017Q2,Synergy,AWS,34,11,https://www.srgresearch.com/articles/leading-cloud-providers-continue-run-away-market
2017Q2,Synergy,Azure,11,11,https://www.srgresearch.com/articles/leading-cloud-providers-continue-run-away-market
2017Q2,Synergy,GCP,5,11,https://www.srgresearch.com/articles/leading-cloud-providers-continue-run-away-market
2017Q4,Canalys,AWS,32.2,15.6,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2017Q4,Canalys,Azure,13.7,15.6,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2017Q4,Canalys,GCP,7.6,15.6,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2018Q4,Canalys,AWS,32.3,22.7,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2018Q4,Canalys,Azure,16.5,22.7,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2018Q4,Canalys,GCP,9.5,22.7,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2019/pr20190204.pdf
2019Q4,Canalys,AWS,32.4,30.2,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2020/Canalys---Cloud-market-share-Q4-2019-and-full-year-2019.pdf
2019Q4,Canalys,Azure,17.6,30.2,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2020/Canalys---Cloud-market-share-Q4-2019-and-full-year-2019.pdf
2019Q4,Canalys,GCP,6.0,30.2,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2020/Canalys---Cloud-market-share-Q4-2019-and-full-year-2019.pdf
2020Q4,Canalys,AWS,31,39.9,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/Cloud-pr-Q4-2020.pdf
2020Q4,Canalys,Azure,20,39.9,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/Cloud-pr-Q4-2020.pdf
2020Q4,Canalys,GCP,7,39.9,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/Cloud-pr-Q4-2020.pdf
2021Q1,Canalys,AWS,32,41.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/1143234453Canalys_cloud_pr_Q1_2021.pdf
2021Q1,Canalys,Azure,19,41.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/1143234453Canalys_cloud_pr_Q1_2021.pdf
2021Q1,Canalys,GCP,7,41.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2021/1143234453Canalys_cloud_pr_Q1_2021.pdf
2021Q4,Canalys,AWS,33,53.5,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1504763491cloud_pr_Q4_2021.pdf
2021Q4,Canalys,Azure,22,53.5,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1504763491cloud_pr_Q4_2021.pdf
2021Q4,Canalys,GCP,9,53.5,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1504763491cloud_pr_Q4_2021.pdf
2022Q1,Synergy,AWS,33,52.7,https://www.srgresearch.com/articles/huge-cloud-market-is-still-growing-at-34-per-year-amazon-microsoft-and-google-now-account-for-65-of-all-cloud-revenues
2022Q2,Synergy,AWS,34,54.7,https://www.srgresearch.com/articles/q2-cloud-market-grows-by-29-despite-strong-currency-headwinds-amazon-increases-its-share
2022Q2,Canalys,AWS,31,62.3,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1225422398Global_Cloud_services_Q2_2022.pdf
2022Q2,Canalys,Azure,24,62.3,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1225422398Global_Cloud_services_Q2_2022.pdf
2022Q2,Canalys,GCP,8,62.3,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2022/1225422398Global_Cloud_services_Q2_2022.pdf
2022Q4,Canalys,AWS,32,65.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2023/1725098181Worldwide-Cloud-Market-Q4-2022.pdf
2022Q4,Canalys,Azure,23,65.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2023/1725098181Worldwide-Cloud-Market-Q4-2022.pdf
2022Q4,Canalys,GCP,10,65.8,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/press_release/2023/1725098181Worldwide-Cloud-Market-Q4-2022.pdf
2023Q1,Synergy,Azure,23,63.7,https://www.srgresearch.com/articles/q1-cloud-spending-grows-by-over-10-billion-from-2022-the-big-three-account-for-65-of-the-total
2023Q1,Synergy,GCP,10,63.7,https://www.srgresearch.com/articles/q1-cloud-spending-grows-by-over-10-billion-from-2022-the-big-three-account-for-65-of-the-total
2023Q2,Synergy,Azure,22,64.8,https://www.prnewswire.com/news-releases/quarterly-cloud-market-once-again-grows-by-10-billion-from-2022-meanwhile-little-change-at-the-top-301893296.html
2023Q2,Synergy,GCP,11,64.8,https://www.prnewswire.com/news-releases/quarterly-cloud-market-once-again-grows-by-10-billion-from-2022-meanwhile-little-change-at-the-top-301893296.html
2023Q2,Canalys,AWS,30,72.4,https://techblog.comsoc.org/2023/08/10/cloud-infrastructure-services-market-grows-ai-will-be-a-major-driver-of-future-cloud-investments/
2023Q2,Canalys,Azure,26,72.4,https://techblog.comsoc.org/2023/08/10/cloud-infrastructure-services-market-grows-ai-will-be-a-major-driver-of-future-cloud-investments/
2023Q2,Canalys,GCP,9,72.4,https://techblog.comsoc.org/2023/08/10/cloud-infrastructure-services-market-grows-ai-will-be-a-major-driver-of-future-cloud-investments/
2023Q3,Synergy,Azure,23,68.1,https://www.srgresearch.com/articles/ai-helps-to-stabilize-quarterly-cloud-market-growth-rate-microsoft-market-share-nudges-up-again
