quarter,amazon_capex_musd,microsoft_capex_musd,alphabet_capex_musd
2016Q1,1179,2308,2444
2016Q2,1711,2655,2136
2016Q3,1841,2163,2554
2016Q4,2006,1988,3078
2017Q1,2148,1695,2508
2017Q2,3113,2283,2831
2017Q3,3074,2132,3538
2017Q4,3620,2586,4307
2018Q1,3098,2934,7299
2018Q2,3243,3980,5477
2018Q3,3352,3602,5282
2018Q4,3734,3707,7081
2019Q1,3290,2565,4638
2019Q2,3562,4051,6126
2019Q3,4697,3385,6732
2019Q4,5312,3545,6052
2020Q1,6795,3767,6005
2020Q2,7459,4744,5391
2020Q3,11063,4907,5406
2020Q4,14823,4174,5479
2021Q1,12082,5089,5942
2021Q2,14288,6452,5496
2021Q3,15748,5810,6819
2021Q4,18935,5865,6383
2022Q1,14951,5340,9786
2022Q2,15724,6871,6828
2022Q3,16378,6283,7276
2022Q4,16592,6274,7595
2023Q1,14207,6607,6289
2023Q2,11455,8943,6888
2023Q3,12479,9917,8055
2023Q4,14588,9735,11019
2024Q1,14925,10952,12012
2024Q2,17620,13873,13186
2024Q3,22620,14923,13061
2024Q4,27834,15804,14276
2025Q1,25019,16745,17197
2025Q2,32183,17079,22446
2025Q3,35095,19394,23953
2025Q4,39522,29876,27851
2026Q1,44203,30876,35674
