quarter,provider,revenue_musd,operating_income_musd,note,source_url
2016Q1,AWS,2566,604,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000049/amzn-20170331xex991.htm
2016Q2,AWS,2886,718,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000098/amzn-20170630xex991.htm
2016Q3,AWS,3231,861,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000131/amzn-20170930xex991.htm
2016Q4,AWS,3536,926,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000002/amzn-20171231xex991.htm
2017Q1,AWS,3661,890,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000049/amzn-20170331xex991.htm
2017Q2,AWS,4100,916,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000098/amzn-20170630xex991.htm
2017Q3,AWS,4584,1171,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000131/amzn-20170930xex991.htm
2017Q4,AWS,5113,1354,pre-ASC606 as originally reported,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000002/amzn-20171231xex991.htm
2018Q1,AWS,5442,1400,,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000041/amzn-2019331xex991.htm
2018Q2,AWS,6105,1642,,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000069/amzn-2019630xex991.htm
2018Q3,AWS,6679,2077,,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000087/amzn-2019930xex991.htm
2018Q4,AWS,7430,2177,,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000002/amzn-20191231xex991.htm
2019Q1,AWS,7696,2223,,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000041/amzn-2019331xex991.htm
2019Q2,AWS,8381,2121,,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000069/amzn-2019630xex991.htm
