year,country,respondents,aws_pct,azure_pct,gcp_pct
2023,Argentina,411,51.3,24.8,25.5
2023,Australia,1591,64.4,34.0,25.5
2023,Austria,671,36.1,32.8,23.0
2023,Bangladesh,385,41.6,14.3,22.9
2023,Belgium,634,43.5,39.3,23.7
2023,Brazil,1560,63.4,24.0,29.6
2023,Bulgaria,347,47.8,31.4,23.1
2023,Canada,2630,57.1,30.6,27.8
2023,Chile,183,59.6,24.0,33.9
2023,China,374,38.2,19.8,24.1
2023,Colombia,390,63.1,28.5,26.9
2023,Croatia,209,43.5,26.3,26.3
2023,Czech Republic,698,40.4,30.8,24.2
2023,Denmark,599,39.9,45.1,19.7
2023,Egypt,198,42.9,17.7,25.8
2023,Estonia,172,58.1,19.8,23.8
2023,Finland,542,49.6,36.5,26.9
2023,France,2032,46.5,21.3,28.2
2023,Georgia,121,56.2,20.7,24.0
2023,Germany,4629,44.2,29.1,22.2
2023,Greece,416,40.9,30.8,22.8
2023,Hong Kong (S.A.R.),143,62.9,30.1,36.4
2023,Hungary,408,43.4,32.1,24.3
2023,India,4208,57.4,22.5,29.4
2023,Indonesia,387,45.7,13.7,42.6
2023,"Iran, Islamic Republic of...",324,20.4,12.7,13.9
2023,Ireland,355,67.6,27.6,17.5
2023,Israel,697,67.3,24.0,29.4
2023,Italy,1267,50.6,29.4,25.7
2023,Japan,269,65.4,16.4,32.0
2023,Kenya,207,39.6,21.3,38.6
2023,Latvia,128,41.4,24.2,22.7
2023,Lithuania,222,40.5,38.3,22.5
2023,Malaysia,198,47.5,23.7,31.8
2023,Mexico,469,49.7,26.4,29.4
2023,Nepal,169,45.0,16.0,19.5
2023,Netherlands,1742,43.3,38.0,25.7
2023,New Zealand,480,59.2,40.0,19.2
2023,Nigeria,339,39.8,16.2,34.2
2023,Norway,550,32.9,51.1,27.8
2023,Pakistan,440,48.4,18.0,30.2
2023,Peru,112,51.8,27.7,37.5
2023,Philippines,266,46.6,19.9,27.1
2023,Poland,1710,46.6,30.9,27.5
2023,Portugal,560,55.7,27.5,24.6
2023,Romania,619,51.4,29.1,22.9
2023,Russian Federation,521,28.8,11.7,20.5
2023,Serbia,302,54.3,23.8,18.9
2023,Singapore,221,60.6,23.1,33.5
2023,Slovakia,227,41.9,34.4,18.1
2023,Slovenia,185,41.1,35.1,26.5
2023,South Africa,412,51.5,37.1,26.5
2023,South Korea,154,70.8,17.5,39.0
2023,Spain,1287,56.2,25.4,27.3
2023,Sri Lanka,185,61.1,23.8,37.8
2023,Sweden,1156,44.6,38.1,23.3
2023,Switzerland,793,37.5,36.2,27.0
2023,Taiwan,168,51.8,20.8,43.5
2023,Thailand,175,53.7,26.9,38.3
2023,Turkey,641,51.6,23.9,32.4
2023,Ukraine,645,57.4,21.7,28.4
2023,United Arab Emirates,149,55.7,27.5,32.9
2023,United Kingdom of Great Britain and Northern Ireland,4208,59.1,34.0,23.5
2023,United States of America,14157,62.3,28.9,25.4
2023,Uruguay,118,64.4,28.8,25.4
2023,Viet Nam,279,49.8,24.0,33.3
2024,Argentina,245,58.4,25.3,29.4
2024,Australia,939,61.6,37.6,21.6
2024,Austria,519,37.8,35.5,23.9
2024,Bangladesh,251,44.2,17.1,26.7
2024,Belgium,370,41.9,43.2,24.1
2024,Brazil,1046,62.3,29.5,31.3
2024,Bulgaria,215,50.2,31.6,33.5
2024,Canada,1498,55.7,33.3,29.0
2024,China,272,27.9,16.5,17.3
2024,Colombia,176,60.8,30.1,31.2
2024,Croatia,126,46.8,31.0,23.0
2024,Czech Republic,448,38.2,36.4,21.9
2024,Denmark,363,33.9,53.2,21.5
2024,Egypt,181,42.0,18.8,25.4
2024,Finland,257,49.4,31.9,29.6
2024,France,1344,44.6,25.7,26.4
2024,Germany,2919,43.7,31.9,21.0
2024,Greece,261,41.0,30.7,21.1
2024,Hungary,239,43.1,38.1,26.4
2024,India,3068,58.8,25.8,32.5
2024,Indonesia,283,42.4,18.7,37.5
2024,"Iran, Islamic Republic of...",200,20.0,12.5,17.5
2024,Ireland,210,62.9,38.1,26.7
2024,Israel,434,64.1,25.1,32.7
2024,Italy,900,49.2,29.3,30.1
2024,Japan,225,68.0,19.6,37.8
2024,Kenya,152,46.7,19.7,43.4
2024,Lithuania,142,51.4,35.2,31.0
2024,Malaysia,115,46.1,25.2,40.9
2024,Mexico,313,52.7,28.1,27.2
2024,Nepal,106,54.7,20.8,28.3
2024,Netherlands,1008,41.5,41.4,26.0
2024,New Zealand,288,53.8,40.3,18.1
2024,Nigeria,215,37.2,20.0,30.7
2024,Norway,345,34.2,47.8,26.7
2024,Pakistan,304,52.3,23.0,32.6
2024,Philippines,145,51.0,16.6,33.8
2024,Poland,1087,48.2,30.4,30.6
2024,Portugal,321,52.6,32.1,21.8
2024,Romania,319,50.2,35.1,27.6
2024,Russian Federation,361,24.1,13.6,26.0
2024,Serbia,182,56.6,30.2,23.6
2024,Singapore,141,64.5,22.7,40.4
2024,Slovakia,160,45.6,33.8,23.1
2024,South Africa,268,48.9,43.7,23.9
2024,South Korea,110,70.9,14.5,35.5
2024,Spain,811,57.5,30.0,28.7
2024,Sri Lanka,137,53.3,32.1,35.0
2024,Sweden,673,42.9,39.4,25.7
2024,Switzerland,564,35.8,43.3,26.6
2024,Taiwan,189,41.3,24.3,40.7
2024,Thailand,121,47.9,22.3,45.5
2024,Turkey,404,43.3,28.0,31.9
2024,Ukraine,2079,62.0,25.2,31.2
2024,United Kingdom of Great Britain and Northern Ireland,2359,55.8,36.5,24.0
2024,United States of America,7986,61.6,30.8,26.3
2024,Viet Nam,204,47.5,25.0,38.2
2025,Argentina,163,49.1,21.5,28.8
2025,Australia,605,56.5,33.6,21.7
2025,Austria,292,25.3,27.1,21.2
2025,Bangladesh,127,41.7,18.1,29.9
2025,Belgium,220,29.1,36.8,17.3
2025,Brazil,576,51.4,22.7,28.5
2025,Bulgaria,171,39.2,30.4,31.0
2025,Canada,921,47.4,30.1,25.2
2025,China,161,16.1,9.9,11.2
2025,Colombia,125,60.0,31.2,31.2
2025,Czech Republic,359,28.1,25.3,21.4
2025,Denmark,221,24.4,42.1,14.0
2025,Finland,186,36.6,32.3,18.8
2025,France,984,32.9,17.1,19.1
2025,Germany,2220,29.9,23.0,16.7
2025,Greece,157,32.5,29.9,24.8
2025,Hungary,166,28.3,19.9,14.5
2025,India,1419,52.2,24.2,32.6
2025,Indonesia,110,51.8,18.2,41.8
2025,Ireland,154,51.3,31.8,18.2
2025,Israel,216,53.2,22.7,31.9
2025,Italy,560,37.9,25.0,22.5
2025,Japan,124,61.3,21.0,30.6
2025,Mexico,177,43.5,23.2,32.2
2025,Netherlands,638,32.9,36.7,22.9
2025,New Zealand,175,48.0,36.0,21.7
2025,Norway,175,18.9,50.9,19.4
2025,Pakistan,120,48.3,18.3,38.3
2025,Poland,646,36.7,22.0,21.8
2025,Portugal,192,47.4,27.1,25.0
2025,Romania,233,41.2,29.6,24.0
2025,Russian Federation,147,17.0,3.4,11.6
2025,Serbia,104,47.1,26.9,29.8
2025,Slovakia,107,29.0,21.5,19.6
2025,South Africa,174,44.8,36.2,26.4
2025,Spain,528,47.9,22.2,29.7
2025,Sweden,443,32.5,34.8,22.6
2025,Switzerland,413,25.2,29.5,18.4
2025,Turkey,186,39.2,20.4,28.0
2025,Ukraine,674,55.6,21.4,33.1
2025,United Kingdom of Great Britain and Northern Ireland,1418,50.4,33.4,23.2
2025,United States of America,5113,54.5,28.0,25.5
