year,region,respondents,aws_pct,azure_pct,gcp_pct
2023,Africa,1317,42.8,23.1,30.4
2023,Asia,8083,54.2,21.0,30.7
2023,Europe,27834,47.7,31.2,24.4
2023,Middle East,1893,51.8,22.5,27.8
2023,North America,17256,61.2,29.1,25.9
2023,Oceania,2071,63.2,35.4,24.0
2023,South America,2855,60.6,24.9,28.9
2024,Africa,937,41.7,25.9,30.3
2024,Asia,5809,54.5,23.8,33.1
2024,Europe,18834,47.8,33.0,25.9
2024,Middle East,1174,48.6,25.5,29.8
2024,North America,9797,60.4,31.1,26.7
2024,Oceania,1227,59.7,38.2,20.8
2024,South America,1743,61.4,29.1,30.7
2025,Africa,485,42.9,27.4,38.6
2025,Asia,2731,48.5,22.4,31.9
2025,Europe,11701,36.6,26.9,21.5
2025,Middle East,571,39.9,21.2,26.6
2025,North America,6211,53.2,28.2,25.7
2025,Oceania,780,54.6,34.1,21.7
2025,South America,1067,53.0,23.5,29.7
