provider,region,city,country,continent,lat,lon
AWS,us-east-1,Northern Virginia,United States,North America,39.04,-77.49
AWS,us-east-2,Columbus (Ohio),United States,North America,39.96,-83.00
AWS,us-west-1,Northern California,United States,North America,37.35,-121.95
AWS,us-west-2,Oregon,United States,North America,45.84,-119.70
AWS,ca-central-1,Montreal,Canada,North America,45.50,-73.57
AWS,sa-east-1,Sao Paulo,Brazil,South America,-23.55,-46.63
AWS,eu-west-1,Dublin,Ireland,Europe,53.35,-6.26
AWS,eu-west-2,London,United Kingdom,Europe,51.51,-0.13
AWS,eu-west-3,Paris,France,Europe,48.86,2.35
AWS,eu-central-1,Frankfurt,Germany,Europe,50.11,8.68
AWS,eu-central-2,Zurich,Switzerland,Europe,47.37,8.54
AWS,eu-north-1,Stockholm,Sweden,Europe,59.33,18.07
AWS,eu-south-1,Milan,Italy,Europe,45.46,9.19
AWS,eu-south-2,Zaragoza,Spain,Europe,41.65,-0.89
AWS,me-south-1,Manama,Bahrain,Middle East,26.23,50.59
AWS,me-central-1,Dubai,United Arab Emirates,Middle East,25.20,55.27
AWS,il-central-1,Tel Aviv,Israel,Middle East,32.08,34.78
AWS,af-south-1,Cape Town,South Africa,Africa,-33.92,18.42
AWS,ap-east-1,Hong Kong,Hong Kong,Asia,22.32,114.17
AWS,ap-south-1,Mumbai,India,Asia,19.08,72.88
AWS,ap-south-2,Hyderabad,India,Asia,17.39,78.49
AWS,ap-southeast-1,Singapore,Singapore,Asia,1.35,103.82
AWS,ap-southeast-2,Sydney,Australia,Oceania,-33.87,151.21
AWS,ap-southeast-3,Jakarta,Indonesia,Asia,-6.21,106.85
AWS,ap-southeast-5,Kuala Lumpur,Malaysia,Asia,3.14,101.69
AWS,ap-northeast-1,Tokyo,Japan,Asia,35.68,139.69
AWS,ap-northeast-2,Seoul,South Korea,Asia,37.57,126.98
AWS,ap-northeast-3,Osaka,Japan,Asia,34.69,135.50
AWS,us-gov-west-1,US GovCloud West,United States,North America,44.00,-120.50
AWS,us-gov-east-1,US GovCloud East,United States,North America,40.40,-82.80
Azure,eastus,Virginia,United States,North America,37.37,-79.82
Azure,eastus2,Virginia,United States,North America,36.67,-78.39
Azure,southcentralus,San Antonio,United States,North America,29.42,-98.49
Azure,westus,California,United States,North America,37.78,-122.42
Azure,westus2,Quincy (Washington),United States,North America,47.23,-119.85
Azure,westus3,Phoenix,United States,North America,33.45,-112.07
Azure,centralus,Des Moines (Iowa),United States,North America,41.59,-93.62
Azure,northcentralus,Chicago,United States,North America,41.88,-87.63
Azure,westcentralus,Cheyenne (Wyoming),United States,North America,41.14,-104.82
Azure,canadacentral,Toronto,Canada,North America,43.65,-79.38
Azure,canadaeast,Quebec City,Canada,North America,46.81,-71.21
Azure,brazilsouth,Sao Paulo,Brazil,South America,-23.55,-46.63
Azure,chilecentral,Santiago,Chile,South America,-33.45,-70.67
Azure,mexicocentral,Queretaro,Mexico,North America,20.59,-100.39
